source,keyword,title,link,summary
Google News,a,'The Lakers can finally be run like a real business': League-wide reaction to the stunning sale - ESPN,https://news.google.com/rss/articles/CBMivAFBVV95cUxNaUpGZ0w4ZXlSNjdTN05qeDRLZGRQaDJrWFZxbFJaa1lqTVV4Y3pSNWtDakpmRm1EaENYZVRUWTcza2dBNDlBRHJRLXo4SlNqSk1BSDRGa1JEMzhIRmFUTGQ4M2s1c0IxZmUxUm50QVoxOFRFeHc2T0tUdHpqbGFIa0NTTDhBVG1XY3h1SXhpY1RLOHBtRXdPRmNBcUkwTjc5RzZkYU9Ja1NpMVV1eHUtUjg0eVJVSEd4LWV3LQ?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,a,A heat dome is about to bring extreme heat and humidity to more than 200 million - The Washington Post,https://news.google.com/rss/articles/CBMijwFBVV95cUxPTE9zeHJsNC1hd1pBSnFTa1ZIMU9CUUJKS1NxalZGTGVYTWg1XzhSMjhKNlNObWFwREJRbEZMaFlVaGdnOFFsbjlfb29Wb29HYWJzYmNEb1F5dk5vbkxPLXV6bHd4WlkyUVZrUUV4bFZwNFlVVnlIdFYyT2N2OGdOY1E4dW93dERqdEVrS0psMA?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,a,U.S. Heat Wave Forecast: When High Temperatures Will Affect You - The New York Times,https://news.google.com/rss/articles/CBMikAFBVV95cUxNVy0xUWhqejl2ZVprNmpBcXoyN3JfaThLNzNWMWwwdHprRmRwejJXbTc1eEoxYjE3UVRFakR0SENMZ0w4S3E2amh2bkhKMnk3TmR3T2hzcGJvems3SVA2VklmMkc0SVBhNXFWZFpEa1oyOFdsVzZoQ0FzY1kydWxjd2lEU3dyY1R1dmlFYmtPamk?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,a,Planning to be outside on a hot day? Take these precautions - NPR,https://news.google.com/rss/articles/CBMie0FVX3lxTE11WEIyWGxkYWEtNFdNa1FwblhKdnVxNDQtUG02MHF3Z2VPcWlDblBQNlNINDBkMDByYXdTb1dSdXlUbkIwVXlQc0JOenZ6SFBUZW9wUGdrdEJwXy1pQlhob2Fva1BJTzJZR0k2SmM4c3Fvc0J1SWY4YWhKaw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,a,How a leaked phone call between a former strongman and a young leader could topple a government - CNN,https://news.google.com/rss/articles/CBMikwFBVV95cUxQR0RWckZLM25uMkRsNzVnSWpZWlQ0Nk1PaDg1REEzRm5ZbnNjbl9YdE1YYnlrQVF6WldyOXdFYm1HZmVKVC1GSUx5SXdCVVUyVXd1N1JpcGctR0ZaNVktM1FIbzRSRHlmbVJmaGZ1OVoxWlNIZGJLeUlDTWVvNmxuR2pmS0ZzZTNsVTFfazBvYWhIQlHSAZgBQVVfeXFMTWRUemFablRTdWJpYTVHTDNZdG8zdUxabmpZZmE0LVYyZ0d3c0dBS2U2bjFuMU5FWFowQmlKcXZHc1NIQnRhUFd5bjdiTjZSWTIyNDJ0VE1kbUdpZFRBRXNvSExYbHp1ZGI0Znp1SFZsYVRJSWlzampBelE5dEttam5KM05pQUw4WmZaNzJVU3h2czVRdlo2c28?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,n,Air India crash: N Chandrasekaran makes important statement; says AI 171 Boeing 787 Dreamliner had ‘new e - Times of India,https://news.google.com/rss/articles/CBMiwgJBVV95cUxOUnUyYTllUDNteV9tdExaNjRXb3RENlNoOEU2VWxvOHhaYW94d1BPd244N3pRdUYyTndXcXoxcmZOUVVhd01ZWHZWY2ZvNnpTRnVISnd2aE52QWhjV0tFNld1UjRSdU1pYnU0VnR1X0libVlSNEpYdHNkaDlkUDNNMDhuS1djMmtZZExvU3V1WElod1FFVlBIWDZVc0Q4V1VSMG1fMjF5OTJRQkZTWkdkSEpwdzY3b2hOVFNDTnRQVW1Ddm10VDhXcUg3bjBGMGQ2MUFoOW5ZUXZyWmQtSFBRV2lFX1BZWjBYeE9SMHFlcEoyX29DakpyU2tnQ0pKS2hCVzhuTks5U0tzemx0dkw2RE9RRThPZUZhTjllLUtrb2xRcEFzbW5famxyVm95VnlTbkF5Q3ZOY1ZIckREZlVuR09B0gHHAkFVX3lxTE5rcnhJOWJ6WTlEYnBycHNwbFRoVEczaHowYUg4SVhRSXpRdnhUUXY1TS1WU19WczllQmxtclhnckZ5Y1k3VXVkdk5ZNmdJcUtRMUV2TzY5dzNOSHk2QTEwaHhhT1FLREc1aWVVOEdmRlR4dTNRc3FKSkNPNFhXWWZzNkpRODNQTTA1WDk1Y1pkdy16aVUyMTNuSzJBdU9XVk5Od3UwZ25OOEtqVzBza1Q3bnU0eDdXWm5YWE9qb3hRQUVHeXpRSkY2cHl1U1R1SG5WU0ZtTFU4eU5wanVUQjQtOUtFR1Q1aFA3X0pXX0I5NEp0YTJKUEhUSzJnNnVGczVscDhUd3pybWpJdE5rSzVTdzZNSlFGWVNkRnNEWjRuMnFTWXlWQUVPS2dMaThZRnUwWURwNWQtMmRXTnFKTGp1MjlYUy1kUQ?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,n,N Chandrasekaran responds to plagiarism allegations against Air India CEO Campbell Wilson: ‘Look into the spirit’ - Mint,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPbEJUdXMzZ2tSQVFWNE5kTENjYVAzbEJKX21rbWdoTXZXUGUtenVhcVJ3LXJzakZUdjZCQkJTdUxrc1dhdUlNR0ZjMTdoUGJDYTB6UFVyeGpyU0V5V0tOOTNuT0pEZ1lFV1pVT0F2S3J5U1lZQ09IejZZSS1wX0xPSTdXQkRHblBZTGNtbTVGQzEtUzkteDdtVnAxNGROTFAyam1ZSXVpRVo2RzFrSklRUVR0cTV0OFp3VHRqOUtpN1B1NEZFTUlmRkVwM0s0MXRSSnFkeDVxZ3oxOE9lX3pDMVpyVEs1UzRYSGN3Z19MdVhvZ9IB9wFBVV95cUxNdGozbnNOdjl3QkhTdGxjWmd6ZnVqVm95akZ5WnlrTlNCb0lJa3gxV0V0WGhZN2s2Q3BpaC1tMGxmUDFyakFtWGdQalpLRXp0LWpMOEpfTjdGQlREeUdwRUtERzFEakRTOFpHdkExLVI3bkpPT0tKeVBWYmhJOTVDNjVCd3VTaWNkZWptODl1ZW9VWkdkNjg4eUxaLThycW10TWR2UG8zMjlvLXk3NnVkWF9qU2hrZEFjWnVVME5wT3VfekZBSUdBc2RMWk9VZllSeHBFNlpUb1dQVTJvVVEwd2x6bEFZTWhTTnM2NVBRZXJobDNTWDMw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,n,Air India crash: N Chandrasekaran says one engine on plane was new - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE9PaVJpMU4ydlpLS2Rmb1FNOVdqWFZ6LUJ5dVNnZ1plbl9KdGhaR0xLY3RDM09aYUhwekMxc1BKU2xSWmdjMU5qaTAxZ2NCMlpiUG5COTJMbGhYUdIBX0FVX3lxTE80TEtwWjFaamVwalNaMDFCcnRadnE4M2d6V2ZnRElCTEp4UmRZd1VZUmltQ1Z3X1hhWG1WUnNxSlFzZGJhQXpBcVMzMWlHQ1JXLUE0TDl2Y1BHODNGMWlB?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,n,"Former In-N-Out employee files $3 million lawsuit, accuses company of alleged discrimination over hairstyle - KTLA",https://news.google.com/rss/articles/CBMi2AFBVV95cUxPMXBOZ0hQZGN4RGxkdkdxU2g2bE9kLW5DWEJRMlBaTGVYQk02LXBJZ3J0VjVGZmgtTHdfWkcyR1VkdHM3ajlNWk9QNGE5Z3lIU2pueDRON21IVmMtcEhZT0I2MjAyU1RNdV9ITUpQZ214dDRpZ0d4NzFwVEZRSmFLNlJNazBZY2t1bVIwcGp0dndTbFJsNXpKclNYeDBKUUVjQll0NE9SRjQ2MVAwWHh4UmV6RXdhek5FamY1Mmk2MTkzWGlnUGpPMndsSlJRdExVc0Vfbk9wMk7SAd4BQVVfeXFMTXYzS1JDWlU4WGp3cXc0V1lmSmF5ZWJiSXcyaklOcWNvSEF2dnR5dXlLUmR0Rm1hZzNxNXBsZW5KM1huOWJKNE1MUG0yLW56c3FiQXlQMUExbXBoWUdzc1pOQ0R3Mk45V2o0S3FzeS1pVGYzbVhHZ25YWEFLUmxCYWxYY1lwOVZlUjl0dzNyQnBhOWxROVpiMEduX1dsSWpKSERBLWxvU19ibjJkQ0xpU3NsSEcwbzMxZDNoTFVoeGV1dUdJUDdwTHJYVlI0VEpXQVV4dTRVaVVxLXhLT29B?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
Google News,n,"In-N-Out former employee files $3-million lawsuit, saying he was fired over his hairstyle - Los Angeles Times",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOV3JDOU53U0s5RENJQVZsX2xJUnVpQllxVXhaTEU4cVFGQ0tlb2hWWTZRWEdDaVQ1NTBoclE2SWpRLWhIVHRoX0xFZ1RlSFRFSGpLcXNCUENxVHZMNzFIVzRpZ2tMNlBBSTVnVkRHaVRKQlVzN05OUW9semEyOUhRM21EU1hrU0k3cW5XVHNHOFlSam5tU0FPM2pYQ05XeHJuSUhiNDkyUkZoTDlKM1ZYQzFmY2pHRG9KbzJ6LWg2ZHBtME1sZ3hjeks4aU1mWjB2bTl2NEhVYw?oc=5,"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News."
